crop,variety,state,quantity,production,season,cost,recommended_zone
Rice,Cr Dhan 501 (Iet 19189),Uttar Pradesh,168.5,200.8,152,28144.5,Semi Deep Water Condition Of Uttar Pradesh And Assam.
Rice,Chinsurah Rice (Iet 19140),Orissa,168.5,200.8,Medium,25909.05,"Andhra Pradesh, Tamil Nadu, Gujarat, Orissa, And West Bengal Under Irrigated Conditions."
Rice,Igkvr-1 (Iet 19569),Orissa,168.5,200.8,Mid-Early,25909.05,"Chhattisgarh, Madhya Pradesh And Orissa Under  Both Irrigated And Rainfed Conditions."
Rice,Igkvr-2 (Iet 19795),Orissa,168.5,200.8,Medium,25909.05,"Chhattisgarh, Bihar And Orissa Under  Both Irrigated And Rainfed Conditions."
Rice,Cr Dhan 401 (Reeta),Orissa,168.5,200.8,145-150,25909.05,"Orissa, West Bengal, Tamil Nadu And Andhra Pradesh Under Irrigated Late Sown Conditions As Well As Shallow Rainfed Lowland."
Rice,Cr Dhan 601 (Iet 18558),Orissa,168.5,200.8,160,25909.05,"Boro Area Of Orissa, West Bengal And Assam."
Rice,Chinsurah Rice (Iet 19140),West Bengal,168.5,200.8,Medium,33046.12,"Andhra Pradesh, Tamil Nadu, Gujarat, Orissa, And West Bengal Under Irrigated Conditions."
Rice,Cr Dhan 401 (Reeta),West Bengal,168.5,200.8,145-150,33046.12,"Orissa, West Bengal, Tamil Nadu And Andhra Pradesh Under Irrigated Late Sown Conditions As Well As Shallow Rainfed Lowland."
Rice,Cr Dhan 601 (Iet 18558),West Bengal,168.5,200.8,160,33046.12,"Boro Area Of Orissa, West Bengal And Assam."
Rice,Chinsurah Rice (Iet 19140),Punjab,168.5,200.8,Medium,45291.24,"Andhra Pradesh, Tamil Nadu, Gujarat, Orissa, And West Bengal Under Irrigated Conditions."
Rice,Chinsurah Rice (Iet 19140),Andhra Pradesh,168.5,200.8,Medium,46450.2,"Andhra Pradesh, Tamil Nadu, Gujarat, Orissa, And West Bengal Under Irrigated Conditions."
Rice,Cr Dhan 401 (Reeta),Andhra Pradesh,168.5,200.8,145-150,46450.2,"Orissa, West Bengal, Tamil Nadu And Andhra Pradesh Under Irrigated Late Sown Conditions As Well As Shallow Rainfed Lowland."
Wheat,Mpo(Jw)  1215 (Mpo 1215),Madhya Pradesh,115.0,131.6,120,22489.75,"Madhya Pradesh, Chhattisgarh, Gujarat And Rajasthan (Kota And Udaipur Division Only) Under Timely Sown Irrigated Condition."
Wheat,Pdw 314,Punjab,115.0,131.6,169,35423.48,"Punjab, Haryana, Western Uttar Pradesh, Delhi, Rajasthan (Excluding Kota & Udaipur Divisions), Tarai Regions Of Uttarakhand, Paonta Valley & Una District Of Himachal Pradesh Under Timely Sown Irrigated Conditions."
Wheat,Whd 943,Punjab,115.0,131.6,Unknown,35423.48,"Punjab, Haryana, Delhi, Rajasthan (Except Kota And Udaipur Divisions), West Uttar Pradesh (Except Jhansi Divisions) Jammu And Kathua Districts Of Jammu And Kashmir, Paonta Valley And Una District Of Himachal Pradesh, And Tarai Region Of Uttarakhand."
Wheat,Pdw 314,Uttar Pradesh,115.0,131.6,169,31902.74,"Punjab, Haryana, Western Uttar Pradesh, Delhi, Rajasthan (Excluding Kota & Udaipur Divisions), Tarai Regions Of Uttarakhand, Paonta Valley & Una District Of Himachal Pradesh Under Timely Sown Irrigated Conditions."
Wheat,Dbw39,Uttar Pradesh,115.0,131.6,123,31902.74,"Eastern Uttar Pradesh, Bihar, Jharkhand, West Bengal, Assam And Orissa Under Timely Sown Irrigated Condition."
Wheat,Pusa Prachi (Hi 1563),Uttar Pradesh,115.0,131.6,Unknown,31902.74,"Eastern Uttar Pradesh, Bihar, Jharkhand, West Bengal (Except Hills), Orissa, Assam And The Place Of North Eastern States In Late Sown Condition."
Wheat,Whd 943,Uttar Pradesh,115.0,131.6,Unknown,31902.74,"Punjab, Haryana, Delhi, Rajasthan (Except Kota And Udaipur Divisions), West Uttar Pradesh (Except Jhansi Divisions) Jammu And Kathua Districts Of Jammu And Kashmir, Paonta Valley And Una District Of Himachal Pradesh, And Tarai Region Of Uttarakhand."
Wheat,Mpo(Jw)  1215 (Mpo 1215),Rajasthan,115.0,131.6,120,29876.36,"Madhya Pradesh, Chhattisgarh, Gujarat And Rajasthan (Kota And Udaipur Division Only) Under Timely Sown Irrigated Condition."
Wheat,Pdw 314,Rajasthan,115.0,131.6,169,29876.36,"Punjab, Haryana, Western Uttar Pradesh, Delhi, Rajasthan (Excluding Kota & Udaipur Divisions), Tarai Regions Of Uttarakhand, Paonta Valley & Una District Of Himachal Pradesh Under Timely Sown Irrigated Conditions."
Wheat,Whd 943,Rajasthan,115.0,131.6,Unknown,29876.36,"Punjab, Haryana, Delhi, Rajasthan (Except Kota And Udaipur Divisions), West Uttar Pradesh (Except Jhansi Divisions) Jammu And Kathua Districts Of Jammu And Kashmir, Paonta Valley And Una District Of Himachal Pradesh, And Tarai Region Of Uttarakhand."
Maize,Hqpm-4,Bihar,156.1,198.8,95,19857.7,"Punjab, Haryana, Delhi, West And Central Up, Bihar, Jharkhand, Orissa, Eastern Up, Andhra Pradesh, Karnataka, Tamilnadu, Maharashtra, Rajasthan, Madhya Pradesh, Gujarat And Chhattisgarh Under Kharif Season."
Maize,Hqpm-4,Karnataka,156.1,198.8,95,20671.54,"Punjab, Haryana, Delhi, West And Central Up, Bihar, Jharkhand, Orissa, Eastern Up, Andhra Pradesh, Karnataka, Tamilnadu, Maharashtra, Rajasthan, Madhya Pradesh, Gujarat And Chhattisgarh Under Kharif Season."
Maize,Mch 36 (Hybrid) (Dkc 9099),Karnataka,156.1,198.8,99,20671.54,"Karnataka, Tamil Nadu And Maharashtra In Kharif Season Under Irrigated And Rainfed Conditions."
Maize,Dhm 119 (Bh 4062),Karnataka,156.1,198.8,Unknown,20671.54,"Andhra Pradesh, Maharashtra, Tamil Nadu And Karnataka In Kharif Season."
Maize,Hqpm-4,Rajasthan,156.1,198.8,95,19810.29,"Punjab, Haryana, Delhi, West And Central Up, Bihar, Jharkhand, Orissa, Eastern Up, Andhra Pradesh, Karnataka, Tamilnadu, Maharashtra, Rajasthan, Madhya Pradesh, Gujarat And Chhattisgarh Under Kharif Season."
Maize,Pmh 5 (Jh 3110),Rajasthan,156.1,198.8,Unknown,19810.29,"Rajasthan, Madhya Pradesh, Gujarat And Chhattisgarh In Kharif Season Under Both Irrigated And Rainfed Condition."
Maize,Pmh 4 (Jh 31153),Uttar Pradesh,156.1,198.8,Unknown,21045.11,"Punjab, Haryana, Delhi And Western Uttar Pradesh Under Irrigated Condition."
Maize,Hqpm-4,Andhra Pradesh,156.1,198.8,95,37801.85,"Punjab, Haryana, Delhi, West And Central Up, Bihar, Jharkhand, Orissa, Eastern Up, Andhra Pradesh, Karnataka, Tamilnadu, Maharashtra, Rajasthan, Madhya Pradesh, Gujarat And Chhattisgarh Under Kharif Season."
Maize,Dhm 119 (Bh 4062),Andhra Pradesh,156.1,198.8,Unknown,37801.85,"Andhra Pradesh, Maharashtra, Tamil Nadu And Karnataka In Kharif Season."
Gram,Ujjawal (Ipck2004-29),Rajasthan,122.3,140.6,103-111,12610.85,"Mp, South Rajasthan, Chhattisgarh, Maharashtra, Gujarat, Bundelkhand Region Of Up Under Irrigated Conditions During Rabi Season."
Gram,Pkv Kabuli-4,Madhya Pradesh,122.3,140.6,110,16873.17,"Maharashtra, Madhya Pradesh Under Irrigated Conditions."
Gram,Ujjawal (Ipck2004-29),Uttar Pradesh,122.3,140.6,103-111,21618.43,"Mp, South Rajasthan, Chhattisgarh, Maharashtra, Gujarat, Bundelkhand Region Of Up Under Irrigated Conditions During Rabi Season."
Gram,Ujjawal (Ipck2004-29),Maharashtra,122.3,140.6,103-111,18679.33,"Mp, South Rajasthan, Chhattisgarh, Maharashtra, Gujarat, Bundelkhand Region Of Up Under Irrigated Conditions During Rabi Season."
Gram,Pkv Kabuli-4,Maharashtra,122.3,140.6,110,18679.33,"Maharashtra, Madhya Pradesh Under Irrigated Conditions."
Gram,Mnk-1,Andhra Pradesh,122.3,140.6,Unknown,26762.09,"Karnataka, Andhra Pradesh, Orissa And Tamil Nadu In Normal Sown Rainfed As Well As Irrigated Condition."
Tur,Unknown,Uttar Pradesh,99.7,97.0,Unknown,23076.74,Unknown
Tur,Unknown,Karnataka,99.7,97.0,Unknown,16528.68,Unknown
Tur,Unknown,Gujarat,99.7,97.0,Unknown,19551.9,Unknown
Tur,Unknown,Andhra Pradesh,99.7,97.0,Unknown,24171.65,Unknown
Tur,Unknown,Maharashtra,99.7,97.0,Unknown,25270.26,Unknown
Groundnut,Kadiri Harithandhra (K 1319),Karnataka,124.1,115.2,122,17314.2,Karnataka And Maharashtra Under Timely Sown Irrigated Condition In Rabi And Summer Season.
Groundnut,Girnar - 3 (Pbs 12160),Andhra Pradesh,124.1,115.2,108,30434.61,"West Bengal, Orissa And Manipur Under Kharif Rainfed Condition."
Groundnut,Girnar - 3 (Pbs 12160),Tamil Nadu,124.1,115.2,108,30393.66,"West Bengal, Orissa And Manipur Under Kharif Rainfed Condition."
Groundnut,Girnar - 3 (Pbs 12160),Gujarat,124.1,115.2,108,30114.45,"West Bengal, Orissa And Manipur Under Kharif Rainfed Condition."
Groundnut,Kadiri Harithandhra (K 1319),Maharashtra,124.1,115.2,122,32683.46,Karnataka And Maharashtra Under Timely Sown Irrigated Condition In Rabi And Summer Season.
Cotton(Lint),Cnh012,Maharashtra,121.7,213.1,165,33116.82,"Gujarat, Maharashtra And Madhya Pradesh."
Cotton(Lint),Vbch 2231,Maharashtra,121.7,213.1,Unknown,33116.82,"Maharashtra, Gujarat, Madhya Pradesh And Orissa Under Rainfed Conditions."
Cotton(Lint),Cicr-3 (Cisa 614),Punjab,121.7,213.1,150,50828.83,"Punjab, Haryana And Uttar Pradesh Under Wilt Free Area."
Cotton(Lint),Fdk 124,Punjab,121.7,213.1,Unknown,50828.83,"Punjab, Haryana And Rajasthan Under Irrigated Condition."
Cotton(Lint),Cnh012,Andhra Pradesh,121.7,213.1,165,44756.72,"Gujarat, Maharashtra And Madhya Pradesh."
Cotton(Lint),Cnh012,Gujarat,121.7,213.1,165,42070.44,"Gujarat, Maharashtra And Madhya Pradesh."
Cotton(Lint),Vbch 2231,Gujarat,121.7,213.1,Unknown,42070.44,"Maharashtra, Gujarat, Madhya Pradesh And Orissa Under Rainfed Conditions."
Cotton(Lint),Cicr-3 (Cisa 614),Haryana,121.7,213.1,150,44018.18,"Punjab, Haryana And Uttar Pradesh Under Wilt Free Area."
Cotton(Lint),Fdk 124,Haryana,121.7,213.1,Unknown,44018.18,"Punjab, Haryana And Rajasthan Under Irrigated Condition."
Sugarcane,Karan 6 (Co 0239),Uttar Pradesh,142.6,149.8,Unknown,45239.51,"Punjab, Haryana, Rajasthan, Uttarakhand, Central And Western Uttar Pradesh."
Sugarcane,Karan 5 (Co 0124),Uttar Pradesh,142.6,149.8,Unknown,45239.51,"Punjab, Haryana, Rajasthan, Uttarakhand, Central And Western Uttar Pradesh."
Sugarcane,Co-0218,Karnataka,142.6,149.8,360,86765.77,"Tamil Nadu, Karnataka, Maharashtra, Kerala, Interior Andhra Pradesh."
Sugarcane,Co-0218,Andhra Pradesh,142.6,149.8,360,91442.63,"Tamil Nadu, Karnataka, Maharashtra, Kerala, Interior Andhra Pradesh."
Sugarcane,Co-0218,Maharashtra,142.6,149.8,360,85801.95,"Tamil Nadu, Karnataka, Maharashtra, Kerala, Interior Andhra Pradesh."
Sugarcane,Co-0218,Tamil Nadu,142.6,149.8,360,89025.27,"Tamil Nadu, Karnataka, Maharashtra, Kerala, Interior Andhra Pradesh."
Rice,Cr Dhan 501 (Iet 19189),Uttar Pradesh,168.9,207.9,152,28144.5,Semi Deep Water Condition Of Uttar Pradesh And Assam.
Rice,Chinsurah Rice (Iet 19140),Orissa,168.9,207.9,Medium,25909.05,"Andhra Pradesh, Tamil Nadu, Gujarat, Orissa, And West Bengal Under Irrigated Conditions."
Rice,Igkvr-1 (Iet 19569),Orissa,168.9,207.9,Mid-Early,25909.05,"Chhattisgarh, Madhya Pradesh And Orissa Under  Both Irrigated And Rainfed Conditions."
Rice,Igkvr-2 (Iet 19795),Orissa,168.9,207.9,Medium,25909.05,"Chhattisgarh, Bihar And Orissa Under  Both Irrigated And Rainfed Conditions."
Rice,Cr Dhan 401 (Reeta),Orissa,168.9,207.9,145-150,25909.05,"Orissa, West Bengal, Tamil Nadu And Andhra Pradesh Under Irrigated Late Sown Conditions As Well As Shallow Rainfed Lowland."
Rice,Cr Dhan 601 (Iet 18558),Orissa,168.9,207.9,160,25909.05,"Boro Area Of Orissa, West Bengal And Assam."
Rice,Chinsurah Rice (Iet 19140),West Bengal,168.9,207.9,Medium,33046.12,"Andhra Pradesh, Tamil Nadu, Gujarat, Orissa, And West Bengal Under Irrigated Conditions."
Rice,Cr Dhan 401 (Reeta),West Bengal,168.9,207.9,145-150,33046.12,"Orissa, West Bengal, Tamil Nadu And Andhra Pradesh Under Irrigated Late Sown Conditions As Well As Shallow Rainfed Lowland."
Rice,Cr Dhan 601 (Iet 18558),West Bengal,168.9,207.9,160,33046.12,"Boro Area Of Orissa, West Bengal And Assam."
Rice,Chinsurah Rice (Iet 19140),Punjab,168.9,207.9,Medium,45291.24,"Andhra Pradesh, Tamil Nadu, Gujarat, Orissa, And West Bengal Under Irrigated Conditions."
Rice,Chinsurah Rice (Iet 19140),Andhra Pradesh,168.9,207.9,Medium,46450.2,"Andhra Pradesh, Tamil Nadu, Gujarat, Orissa, And West Bengal Under Irrigated Conditions."
Rice,Cr Dhan 401 (Reeta),Andhra Pradesh,168.9,207.9,145-150,46450.2,"Orissa, West Bengal, Tamil Nadu And Andhra Pradesh Under Irrigated Late Sown Conditions As Well As Shallow Rainfed Lowland."
Wheat,Mpo(Jw)  1215 (Mpo 1215),Madhya Pradesh,115.2,136.4,120,22489.75,"Madhya Pradesh, Chhattisgarh, Gujarat And Rajasthan (Kota And Udaipur Division Only) Under Timely Sown Irrigated Condition."
Wheat,Pdw 314,Punjab,115.2,136.4,169,35423.48,"Punjab, Haryana, Western Uttar Pradesh, Delhi, Rajasthan (Excluding Kota & Udaipur Divisions), Tarai Regions Of Uttarakhand, Paonta Valley & Una District Of Himachal Pradesh Under Timely Sown Irrigated Conditions."
