crop,state,costofcultivation/hectarea2fl,costofcultivation/hectarec2,costofproduction/quintalc2,yieldquintal/hectare,production200607,production200708,production200809,production200910,production201011,area200607,area200708,area200809,area200910,area201011,yield200607,yield200708,yield200809,yield200910,yield201011,variety,season/durationindays,unnamed4,200405,200506,200607,200708,200809,200910,201011,201112,frequency,unit,31993,31994,31995,31996,31997,31998,31999,32000,32001,32002,32003,32004,32005,32006,32007,32008,32009,32010,32011,32012,32013,32014
arhar,Uttar Pradesh,9794.05,23076.74,1941.55,9.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arhar,Karnataka,10593.15,16528.68,2172.46,7.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arhar,Gujarat,13468.82,19551.9,1898.3,9.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arhar,Andhra Pradesh,17051.66,24171.65,3670.54,6.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arhar,Maharashtra,17130.55,25270.26,2775.8,8.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cotton,Maharashtra,23711.44,33116.82,2539.47,12.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cotton,Punjab,29047.1,50828.83,2003.76,24.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cotton,Andhra Pradesh,29140.77,44756.72,2509.99,17.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cotton,Gujarat,29616.09,42070.44,2179.26,19.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cotton,Haryana,29918.97,44018.18,2127.35,19.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gram,Rajasthan,8552.69,12610.85,1691.66,6.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gram,Madhya Pradesh,9803.89,16873.17,1551.94,10.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gram,Uttar Pradesh,12833.04,21618.43,1882.68,10.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gram,Maharashtra,12985.95,18679.33,2277.68,8.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gram,Andhra Pradesh,14421.98,26762.09,1559.04,16.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
groundnut,Karnataka,13647.1,17314.2,3484.01,4.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
groundnut,Andhra Pradesh,21229.01,30434.61,2554.91,11.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
groundnut,Tamil Nadu,22507.86,30393.66,2358.0,11.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
groundnut,Gujarat,22951.28,30114.45,1918.92,13.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
groundnut,Maharashtra,26078.66,32683.46,3207.35,9.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maize,Bihar,13513.92,19857.7,404.43,42.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maize,Karnataka,13792.85,20671.54,581.69,31.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maize,Rajasthan,14421.46,19810.29,658.77,23.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maize,Uttar Pradesh,15635.43,21045.11,1387.36,13.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maize,Andhra Pradesh,25687.09,37801.85,840.58,42.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
moong,Orissa,5483.54,8266.98,2614.14,3.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
moong,Rajasthan,6204.23,9165.59,2068.67,4.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
moong,Karnataka,6440.64,7868.64,5777.48,1.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
moong,Andhra Pradesh,6684.18,13209.32,2228.97,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
moong,Maharashtra,10780.76,15371.45,2261.24,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
paddy,Uttar Pradesh,17022.0,28144.5,732.62,36.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
paddy,Orissa,17478.05,25909.05,715.04,32.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
paddy,West Bengal,24731.06,33046.12,731.25,39.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
paddy,Punjab,25154.75,45291.24,669.86,67.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
paddy,Andhra Pradesh,29664.84,46450.2,789.9,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rapeseed and mustard,Madhya Pradesh,8686.43,17705.93,1279.6,12.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rapeseed and mustard,Rajasthan,11385.7,19259.84,1341.29,13.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rapeseed and mustard,Uttar Pradesh,12774.41,22560.3,1595.56,13.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
